Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.02,2:00,57221.61,57238.15,57118.18,57176.89,321
2021.12.02,2:05,57175.75,57176.22,56885.37,56936.15,360
2021.12.02,2:10,56930.86,56999.49,56854.45,56905.68,346
2021.12.02,2:15,56916.35,56946.77,56805.65,56845.94,326
2021.12.02,2:20,56851.31,56967.31,56825.59,56958.78,323
2021.12.02,2:25,56959.78,56980.18,56830.38,56890.14,332
2021.12.02,2:30,56890.93,57040.89,56869.29,57013.95,334
2021.12.02,2:35,57015.63,57033.77,56942.66,56951.08,312
2021.12.02,2:40,56951.6,57116.95,56886.19,57116.95,336
2021.12.02,2:45,57117.09,57194.13,56914.36,56980.41,383
2021.12.02,2:50,56983.12,57046.79,56907.17,56995.25,343
2021.12.02,2:55,57000.15,57001.67,56918.13,56953.45,334
2021.12.02,3:00,56951.43,56952.54,56685.68,56710.66,364
2021.12.02,3:05,56714.45,56749.86,56099.67,56122.28,523
2021.12.02,3:10,56129.51,56303.26,56063.03,56097.7,489
2021.12.02,3:15,56097.23,56162.21,55808.55,55859.51,503
2021.12.02,3:20,55862.58,56042.59,55734.18,56042.19,490
2021.12.02,3:25,56046.71,56049.41,55840.98,55947.09,394
2021.12.02,3:30,55951.76,56042.56,55865.58,55905.27,356
2021.12.02,3:35,55912.66,56003.11,55810.23,55964.48,372
2021.12.02,3:40,55961.95,56162.62,55948.89,56127.14,358
2021.12.02,3:45,56128.04,56294.7,55993.16,56227.53,385
2021.12.02,3:50,56229.14,56505.64,56225.98,56468.2,351
2021.12.02,3:55,56471.64,56480.13,56267.99,56294.81,358
2021.12.02,4:00,56316.16,56485.29,56217.73,56410.93,414
2021.12.02,4:05,56415.09,56466.11,56299.21,56352.81,344
2021.12.02,4:10,56351.36,56515.05,56349.33,56500.68,342
2021.12.02,4:15,56501.57,56578.98,56397.95,56551.2,345
2021.12.02,4:20,56550.21,56567.3,56426.23,56521.19,335
2021.12.02,4:25,56520.96,56622.79,56481.49,56617.86,340
2021.12.02,4:30,56621.54,56711.94,56554.65,56683.89,342
2021.12.02,4:35,56684.63,56690.28,56508.1,56520.5,349
2021.12.02,4:40,56521.21,56571.53,56452.65,56529.78,327
2021.12.02,4:45,56535.34,56621.25,56455.49,56531.4,340
2021.12.02,4:50,56530.73,56536.85,56467.48,56536.01,315
2021.12.02,4:55,56537.42,56607.07,56501.68,56514.27,319
2021.12.02,5:00,56509.74,56732.31,56492.39,56708.16,339
2021.12.02,5:05,56708.54,56802.7,56682.79,56740.49,323
2021.12.02,5:10,56736.04,56878.2,56658.69,56832.88,373
2021.12.02,5:15,56828.69,56989.89,56767.02,56952.01,395
2021.12.02,5:20,56946.9,56957.25,56802.51,56904.95,357
2021.12.02,5:25,56903.58,56968.7,56839.25,56861.23,341
2021.12.02,5:30,56860.4,56869.04,56779.35,56819.05,339
2021.12.02,5:35,56822.68,56826.75,56729.62,56755.97,322
2021.12.02,5:40,56756.18,56930.62,56744.96,56904.59,337
2021.12.02,5:45,56906.4,56993.63,56866.57,56927.57,332
2021.12.02,5:50,56930.38,56952.47,56844.33,56943.15,321
2021.12.02,5:55,56943.76,56945.89,56842.22,56928.4,317
2021.12.02,6:00,56929.08,56929.08,56785.65,56806.17,331
2021.12.02,6:05,56803.12,56833.81,56735.53,56802.36,334
2021.12.02,6:10,56800.97,56813.07,56523.59,56706.65,386
2021.12.02,6:15,56709.29,56756.99,56616.69,56653.92,334
2021.12.02,6:20,56653.99,56714.01,56619.12,56639.17,313
2021.12.02,6:25,56644.35,56791.6,56636.54,56744.38,337
2021.12.02,6:30,56742.96,56750.72,56479.63,56505.41,371
2021.12.02,6:35,56511.29,56682.58,56316.84,56426.89,435
2021.12.02,6:40,56435.47,56529.75,56323.89,56501.72,359
2021.12.02,6:45,56502.5,56563.72,56488.47,56557.99,351
2021.12.02,6:50,56559.89,56609.85,56512.78,56600.92,325
2021.12.02,6:55,56596.7,56680.26,56534.65,56674.59,312
2021.12.02,7:00,56673.93,56877.86,56598.04,56848.56,353
2021.12.02,7:05,56848.16,56877.54,56694.02,56694.72,340
2021.12.02,7:10,56699.43,56762.91,56676.85,56762.91,316
2021.12.02,7:15,56762.76,56930.91,56755.59,56864.79,350
2021.12.02,7:20,56863.18,56972.08,56857.39,56902.04,356
2021.12.02,7:25,56902.91,56981.47,56832.31,56913.8,358
2021.12.02,7:30,56911.63,56980.45,56552.36,56611.86,389
2021.12.02,7:35,56626.32,56799.43,56626.22,56783.54,338
2021.12.02,7:40,56785.47,56787.4,56674.89,56699.05,330
2021.12.02,7:45,56700.53,56833.35,56668.1,56807.84,315
2021.12.02,7:50,56799.9,56882.12,56766.38,56796.61,325
2021.12.02,7:55,56799.22,56852.43,56739.72,56816.88,321
2021.12.02,8:00,56817.24,56965.61,56779.24,56861.28,371
2021.12.02,8:05,56863.75,56929.09,56846.77,56864.31,351
2021.12.02,8:10,56852.64,56852.64,56743.55,56834.62,332
2021.12.02,8:15,56836.86,56970.23,56836.86,56931.91,339
2021.12.02,8:20,56931.8,57087.45,56852.98,57080.21,348
2021.12.02,8:25,57073.49,57202.48,57002.43,57180.46,372
2021.12.02,8:30,57180.13,57227.03,57033.4,57070.48,339
2021.12.02,8:35,57076.82,57177.96,57019.59,57134.76,355
2021.12.02,8:40,57135.88,57141.51,56890.73,56971.68,376
2021.12.02,8:45,56972.4,57017.13,56926.94,56984.59,343
2021.12.02,8:50,56984.83,57020.81,56942.89,56978.7,320
2021.12.02,8:55,56978.34,57011.63,56922.21,56937.22,320
2021.12.02,9:00,56927.15,56966.85,56904.56,56963.53,305
2021.12.02,9:05,56962.6,56990.63,56926.1,56965.47,304
2021.12.02,9:10,56969.46,57124.41,56963.18,57100.26,313
2021.12.02,9:15,57087.19,57097.44,56970.72,56976.17,317
2021.12.02,9:20,56998.77,57008.94,56963.48,56974.03,305
2021.12.02,9:25,56974.76,56989.94,56717.91,56791.53,341
2021.12.02,9:30,56793.21,56871.25,56681.09,56728,394
2021.12.02,9:35,56723.13,56772.79,56614.01,56614.01,371
2021.12.02,9:40,56631.76,56735.31,56578.11,56713.02,365
2021.12.02,9:45,56714.51,56808.83,56646,56668.56,347
2021.12.02,9:50,56662.68,56684.04,56583.41,56681.19,348
2021.12.02,9:55,56683.81,56751.82,56645.44,56696.75,351
2021.12.02,10:00,56702.37,56748.32,56606.12,56741.58,333
2021.12.02,10:05,56746.21,56825.98,56738.65,56780.84,316
2021.12.02,10:10,56781.3,56789.62,56660.04,56672.69,309
2021.12.02,10:15,56673.22,56676.31,56491.88,56517.47,335
2021.12.02,10:20,56534.58,56588,56404.91,56579.27,377
2021.12.02,10:25,56574.02,56608.73,56455.35,56523.99,340
2021.12.02,10:30,56530.01,56654.13,56521.66,56633.67,346
2021.12.02,10:35,56635.42,56668.41,56376.55,56632.96,353
2021.12.02,10:40,56629.38,56635.69,56492.97,56529.35,337
2021.12.02,10:45,56529.32,56581.61,56460.6,56508.31,316
2021.12.02,10:50,56512.21,56569.68,56443.89,56518.21,327
2021.12.02,10:55,56519.65,56577.74,56414.58,56556.87,325
2021.12.02,11:00,56557.78,56629.95,56447.5,56499.84,331
2021.12.02,11:05,56501.7,56515.43,56258.86,56345.22,387
2021.12.02,11:10,56344.36,56361.22,56063.87,56145.84,411
2021.12.02,11:15,56147.52,56287.76,56087.91,56287.76,370
2021.12.02,11:20,56289.31,56324.35,56062.6,56102.96,368
2021.12.02,11:25,56112.39,56546.84,56086.43,56429.25,404
2021.12.02,11:30,56433.17,56572.37,56262.92,56314.35,392
2021.12.02,11:35,56317.13,56455.08,56285.08,56374.68,361
